Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Themis Medicare,530199,THEMISMED,INE083B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,83.40,768.12,,0.25,7.65,15.00,3.91,67.11,-0.06,2.43,0.60,2.04
Thermax,500411,THERMAX,INE152A01029,Electrical Equipment,Heavy Electrical Equipment,3490.00,41585.55,64.92,0.36,13.57,12.63,24.90,61.98,0.00,0.00,0.43,8.24
Thirumalai Chem.,500412,TIRUMALCHM,INE338A01024,Chemicals & Petrochemicals,Commodity Chemicals,184.60,2225.32,,1.36,-4.13,13.57,,37.13,-4.87,0.00,0.00,1.43
Thomas Cook (I),500413,THOMASCOOK,INE332A01027,Leisure Services,"Tour, Travel Related Services",102.64,4827.96,19.10,0.22,11.93,3.56,326.25,63.83,-8.51,0.00,0.43,2.03
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,393.45,6262.41,44.14,0.05,16.15,9.62,-0.64,60.93,-10.21,100.00,1.81,11.67
TIL,505196,TIL,INE806C01018,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,195.50,1611.75,,3.79,0.91,-3.51,15.29,70.12,13.82,0.00,0.00,18.28
Tilaknagar Inds.,507205,TI,INE133E01013,Beverages,Breweries & Distilleries,424.85,10501.02,37.23,0.02,29.62,17.05,26.40,31.71,-10.24,11.57,0.23,5.29
Time Technoplast,532856,TIMETECHNO,INE508G01029,Industrial Products,Plastic Products - Industrial,179.65,8868.19,19.80,0.22,14.22,8.81,18.02,47.51,-3.82,0.00,0.69,2.93
Timex Group,500414,,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",266.50,2690.34,45.36,0.11,196.63,16.39,81.11,51.00,-23.93,0.00,0.00,22.58
Timken India,522113,TIMKEN,INE325A01013,Industrial Products,Abrasives & Bearings,3431.80,25813.56,59.96,0.01,16.95,14.24,12.63,51.05,-16.75,0.00,1.06,9.34
Tinna Rubber,530475,TINNARUBR,INE015C01016,Industrial Products,Rubber,653.65,1177.59,24.08,0.38,31.20,32.65,65.45,67.58,-6.23,0.00,0.59,4.31
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,548.05,7005.82,37.20,0.01,82.88,27.84,70.34,64.15,-10.85,0.00,2.35,27.22
Tirupati Forge,,TIRUPATIFL,INE319Y01024,Industrial Products,Castings & Forgings,43.50,546.06,89.99,0.21,9.99,33.02,94.73,48.93,-8.65,0.00,0.00,4.51
Titagarh Rail,532966,TITAGARH,INE615H01020,Industrial Manufacturing,Railway Wagons,709.90,9560.49,52.34,0.25,11.75,16.97,57.02,40.45,-7.37,0.06,0.14,3.78
Titan Biotech,524717,,INE150C01029,Chemicals & Petrochemicals,Specialty Chemicals,454.25,1876.89,69.00,0.05,15.01,14.52,26.47,55.78,-0.10,0.00,0.08,11.28
Titan Company,500114,TITAN,INE280A01028,Consumer Durables,"Gems, Jewellery And Watches",4437.40,393946.23,80.71,0.97,31.75,23.49,17.32,52.90,0.00,0.00,0.24,30.80
Torrent Pharma.,500420,TORNTPHARM,INE685A01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,4090.00,138424.19,59.98,0.33,26.52,7.72,13.84,68.31,-2.94,0.00,0.78,16.35
Torrent Power,532779,TORNTPOWER,INE813H01021,Power,Integrated Power Utilities,1455.30,73333.07,23.23,0.55,19.03,16.41,13.28,51.09,-2.48,0.00,1.33,3.89
Tour. Fin. Corp.,526650,TFCILTD,INE305A01023,Finance,Financial Institution,68.80,3185.29,26.15,0.82,8.51,-1.00,3.91,3.85,-14.09,0.00,0.88,2.57
TPL Plastech,526582,TPLPLASTEH,INE413G01022,Industrial Products,Packaging,65.00,507.01,18.22,0.14,16.98,10.79,17.36,74.86,0.00,0.00,1.55,3.33
TransIndia Real,543955,TREL,INE0O3901029,Transport Services,Logistics Solution Provider,26.49,650.85,19.55,0.00,1.56,,,70.44,,0.00,1.90,0.53
Transpek Inds.,506687,,INE687A01016,Chemicals & Petrochemicals,Commodity Chemicals,1046.95,584.79,10.01,0.05,7.75,2.81,-5.59,57.47,-0.01,0.00,1.92,0.77
Transport Corp.,532349,TCI,INE688A01022,Transport Services,Logistics Solution Provider,1004.00,7705.06,17.20,0.11,19.79,10.57,22.20,68.73,-0.30,0.00,0.89,3.23
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,524.45,7041.05,15.80,0.39,21.55,23.06,26.62,71.12,,0.00,0.15,3.41
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1287.30,16951.09,40.07,0.24,37.62,16.87,29.08,86.19,,0.00,0.00,14.32
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,3889.40,138263.25,83.51,0.38,30.40,37.50,67.15,37.01,0.00,0.00,0.13,22.63
Trident,521064,TRIDENT,INE064C01022,Textiles & Apparels,Other Textile Products,25.02,12750.15,31.22,0.35,8.23,8.13,1.70,73.68,0.74,0.00,2.05,2.72
Triven.Engg.Ind.,532356,TRIVENI,INE256C01024,Agricultural Food & other Products,Sugar,386.40,8458.20,26.98,0.25,8.13,5.10,-6.12,60.98,-0.25,0.00,0.65,2.70
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,460.00,14623.21,41.49,0.03,30.59,19.65,23.36,55.84,-0.10,0.00,0.87,11.29
TruAlt Bioenergy,544545,TRUALT,INE0MWH01014,Agricultural Food & other Products,Other Agricultural Products,411.00,3524.44,23.86,1.10,28.37,,,70.55,,36.85,0.00,2.54
Tsf Investments,,TSFINV,INE202Z01029,Finance,Investment Company,371.10,8242.28,17.58,0.05,7.93,10.70,39.46,55.01,-0.58,0.00,1.78,1.40
TTK Healthcare,507747,TTKHLTCARE,INE910C01018,Diversified,Diversified,871.00,1230.76,17.69,0.02,6.89,4.42,41.96,74.56,0.00,0.00,1.16,1.12
TTK Prestige,517506,TTKPRESTIG,INE690A01028,Consumer Durables,Household Appliances,477.90,6544.87,42.66,0.10,7.42,5.54,-5.42,70.52,0.11,0.00,1.27,3.45
Tube Investments,540762,TIINDIA,INE974X01010,Auto Components,Auto Components & Equipments,2740.00,53033.45,85.85,0.09,12.76,32.59,16.40,44.05,-2.37,0.01,0.13,7.09
Tuticorin Alkali,506808,,INE400A01014,Chemicals & Petrochemicals,Commodity Chemicals,53.00,645.74,18.03,0.59,40.21,14.59,31.12,75.00,0.00,0.00,0.00,4.03
TVS Elec.,532513,TVSELECT,INE236G01019,IT - Hardware,Computers Hardware & Equipments,402.10,749.95,,0.69,-5.61,10.72,,59.77,-0.14,0.00,0.00,8.21
TVS Holdings,520056,TVSHLTD,INE105A01035,Finance,Investment Company,14054.00,28434.19,18.15,6.25,30.20,17.73,25.93,74.46,0.00,16.34,0.69,5.15
TVS Infra. Trust,,TVSINVIT,INE1JNC23012,Commercial Services & Supplies,Diversified Commercial Services,115.00,2267.80,139.21,0.52,,,,34.88,,0.00,2.63,1.18
TVS Motor Co.,532343,TVSMOTOR,INE494B01023,Automobiles,2/3 Wheelers,3720.00,176732.50,60.56,3.89,28.39,18.52,27.31,50.27,0.00,0.00,0.32,21.83
TVS Srichakra,509243,TVSSRICHAK,INE421C01016,Auto Components,Tyres & Rubber Products,3659.15,2802.91,59.80,0.69,2.35,9.11,-19.98,45.70,0.13,0.00,0.47,2.42
TVS Supply,543965,TVSSCS,INE395N01027,Transport Services,Logistics Solution Provider,108.91,4804.94,30.62,1.14,-0.72,8.64,14.06,43.03,,31.87,0.00,2.46
U P Hotels,509960,,INE726E01014,Leisure Services,Hotels & Resorts,1370.00,739.80,24.58,0.00,17.68,9.41,52.07,88.39,0.00,0.00,0.00,4.05
UCO Bank,532505,UCOBANK,INE691A01018,Banks,Public Sector Bank,25.79,32339.52,12.31,10.11,8.38,10.62,24.60,90.95,-4.44,0.00,1.52,0.99
Uflex,500148,UFLEX,INE516A01017,Industrial Products,Packaging,373.60,2697.78,11.27,1.21,3.29,15.22,-8.05,44.58,0.00,0.00,0.76,0.35
Ugro Capital,511742,UGROCAP,INE583D01011,Finance,Non Banking Financial Company (NBFC),95.55,1483.78,11.90,3.28,8.26,67.73,49.12,1.70,-1.17,11.53,0.00,0.61
Ujaas Energy,533644,UEL,INE899L01030,Power,Power Generation,153.20,2043.67,670.03,0.27,9.68,-11.94,21.34,74.96,74.95,0.00,0.00,23.20
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,59.21,11502.80,23.23,6.77,12.42,18.64,15.72,0.00,-73.68,0.00,0.00,1.87
Ultramarine Pig.,506685,,INE405A01021,Chemicals & Petrochemicals,Dyes And Pigments,419.50,1224.93,15.26,0.08,7.99,17.81,4.38,40.49,-1.88,0.00,1.43,1.16
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011,Cement & Cement Products,Cement & Cement Products,11460.00,337702.32,43.47,0.35,9.29,12.35,1.36,59.29,-0.67,0.00,0.68,4.69
