Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Snowman Logistic,538635,SNOWMAN,INE734N01019,Transport Services,Logistics Solution Provider,37.74,630.59,,0.80,1.33,18.13,18.76,50.01,9.76,0.00,2.67,1.57
Sobha,532784,SOBHA,INE671H01015,Realty,"Residential, Commercial Projects",1298.80,13888.39,97.49,0.23,2.68,1.47,-19.57,52.88,0.90,0.00,0.23,3.03
Sobhagya Mercant,512014,,INE754D01018,Commercial Services & Supplies,Diversified Commercial Services,880.00,765.61,31.95,0.14,24.43,70.52,21.40,64.62,30.11,0.00,0.00,7.67
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,14070.00,127319.52,87.67,0.17,32.64,27.51,36.25,73.15,0.00,1.52,0.07,24.96
Solara Active,541540,SOLARA,INE624Z01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,482.05,1743.71,,0.51,0.05,-0.58,-65.77,42.00,1.60,26.04,0.00,1.39
Solarworld Ene.,544532,SOLARWORLD,INE0TY101024,Construction,Civil Construction,176.00,1525.46,18.86,0.27,40.21,,,65.67,,0.00,0.00,2.02
Solex Energy,,SOLEX,INE880Y01017,Electrical Equipment,Heavy Electrical Equipment,1205.30,1302.02,27.87,1.63,38.74,36.77,54.76,66.15,-4.50,0.00,0.05,7.20
Som Distilleries,507514,SDBL,INE480C01038,Beverages,Breweries & Distilleries,76.66,1593.78,18.01,0.24,16.17,25.69,47.87,39.39,6.67,0.00,0.00,1.91
Somany Ceramics,531548,SOMANYCERA,INE355A01028,Consumer Durables,Ceramics,426.00,1747.16,26.98,0.42,8.17,10.55,13.87,55.00,0.22,0.00,0.69,2.22
Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,533.25,33159.96,50.89,0.04,14.37,27.85,31.47,28.02,-25.51,0.00,0.61,5.84
Sonata Software,532221,SONATSOFTW,INE269A01021,IT - Software,Computers - Software & Consulting,247.70,6946.17,15.04,0.42,27.31,22.10,9.25,28.17,0.00,0.00,1.75,3.90
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,38.51,10080.21,7.30,11.30,13.78,3.93,65.71,0.00,0.00,0.00,1.02,0.92
South West Pinn.,543986,SOUTHWEST,INE980Y01015,Commercial Services & Supplies,Diversified Commercial Services,229.55,684.81,23.97,0.52,9.02,16.46,19.23,68.85,-5.83,0.00,0.00,3.74
Spandana Sphoort,542759,SPANDANA,INE572J01011,Finance,Microfinance Institutions,214.05,1678.69,,1.35,-30.97,9.12,,48.16,-14.85,0.00,0.00,0.84
SPARC,532872,SPARC,INE232I01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,144.35,4684.40,,,,-1.35,-1.73,65.67,-2.55,0.00,0.00,
Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,1250.00,1964.23,52.88,0.76,14.26,23.29,40.49,72.72,1.27,0.00,0.00,9.10
Spel Semiconduct,517166,,INE252A01019,Electrical Equipment,Other Electrical Equipment,155.85,718.80,,12.46,-36.13,-26.46,,59.17,0.00,0.00,0.00,334.29
Spice LoungeFood,539895,,INE631E01024,Leisure Services,Restaurants,31.78,2215.42,2032.49,1.03,5.20,,,0.00,-62.24,0.00,0.00,19.97
SpiceJet,500285,SPICEJET,INE285B01017,Transport Services,Airline,11.69,1784.01,,,,-15.63,15.60,30.99,-28.40,47.69,0.00,
SPML Infra,500402,SPMLINFRA,INE937A01023,Construction,Civil Construction,187.15,1475.11,24.80,0.44,7.78,-14.70,48.64,39.54,3.44,24.56,0.00,1.77
Sportking India,539221,SPORTKING,INE885H01029,Textiles & Apparels,Other Textile Products,140.30,1782.82,14.50,0.48,12.35,13.26,54.36,74.36,0.21,0.00,0.70,1.68
Sr.Rayala.Hypo,532842,SRHHYPOLTD,INE917H01012,Chemicals & Petrochemicals,Commodity Chemicals,451.15,774.39,7.52,0.01,11.03,-1.53,20.21,61.84,-0.25,0.00,0.68,0.75
SRF,503806,SRF,INE647A01010,Chemicals & Petrochemicals,Commodity Chemicals,2429.80,72025.30,38.96,0.35,10.37,15.30,4.40,50.26,-0.27,0.00,0.37,5.39
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",136.45,6668.61,29.39,0.08,41.27,,,81.86,,0.00,0.00,3.83
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,440.75,1011.26,12.49,0.20,27.16,,,72.59,,0.00,0.00,3.37
Stallion India,544342,STALLION,INE0RYC01010,Chemicals & Petrochemicals,Industrial Gases,131.30,1524.28,32.99,0.00,15.17,,,47.80,,0.00,0.00,4.78
Standard Engineering Technology,544333,SETL,INE0M4D01010,Industrial Manufacturing,Industrial Products,132.65,2646.28,35.10,0.18,11.55,,,60.47,,13.97,0.00,3.55
Stanley Lifesty.,544202,STANLEY,INE01A001028,Consumer Durables,"Furniture, Home Furnishing",129.00,736.95,30.72,0.71,8.11,15.62,30.24,56.70,,0.00,0.00,1.59
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,213.00,8609.06,23.05,0.21,6.05,11.41,-9.95,57.62,-9.41,1.33,0.93,2.89
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,465.80,27407.84,61.43,0.06,9.37,26.42,18.65,57.98,-0.30,0.00,0.00,3.72
Starlineps Enter,540492,,INE594W01042,Metals & Minerals Trading,Trading - Minerals,13.97,507.32,220.58,0.26,22.26,47.86,109.86,32.97,-22.90,0.00,0.00,14.38
Steel Exchange,534748,STEELXIND,INE503B01021,Industrial Products,Iron & Steel Products,8.85,1103.77,56.96,0.48,2.43,7.86,-26.18,50.80,1.02,99.95,0.00,1.49
Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,206.80,3250.48,16.33,0.55,14.54,23.15,55.22,61.14,-1.46,0.00,0.60,2.03
Steelcast,513517,STEELCAS,INE124E01038,Industrial Products,Castings & Forgings,273.00,2762.75,30.54,0.00,24.24,13.40,55.61,45.00,-1.07,2.85,0.55,7.70
STEL Holdings,533316,STEL,INE577L01016,Finance,Investment Company,487.25,899.24,30.43,0.00,0.97,6.15,0.91,71.33,8.66,0.00,0.00,0.48
Sterling & Wils.,542760,SWSOLAR,INE00M201021,Construction,Civil Construction,177.50,4145.22,19.66,2.61,8.19,2.48,-23.54,45.72,-27.01,27.62,0.00,8.81
Sterling Tools,530759,STERTOOLS,INE334A01023,Auto Components,Auto Components & Equipments,243.15,883.72,26.98,0.32,12.28,23.02,14.27,65.15,-0.62,0.00,1.02,1.66
Sterlite Tech.,532374,STLTECH,INE089C01029,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,218.70,10675.42,889.59,0.94,-6.28,-4.96,,44.44,-9.65,0.00,0.00,5.12
STL Networks,544395,STLNETWORK,INE1VXE01018,Telecom - Services,Other Telecom Services,19.85,968.74,,0.96,-3.52,,,44.16,,0.00,0.00,1.13
Stove Kraft,543260,STOVEKRAFT,INE00IN01015,Consumer Durables,Household Appliances,556.55,1842.64,49.22,0.40,8.69,16.67,66.09,55.79,-0.40,14.62,0.53,3.72
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,998.00,9198.84,16.75,0.67,150.67,10.65,124.04,27.87,-3.02,30.60,0.41,3.35
String Metaverse,534535,,INE958L01026,IT - Services,IT Enabled Services,102.85,1197.53,14.96,0.00,25.85,109.98,123.02,81.79,56.23,0.00,0.00,4.70
Studds Accessor.,544599,STUDDS,INE00Q601028,Auto Components,Auto Components & Equipments,450.25,1771.92,23.94,0.02,16.67,,,61.75,,0.00,0.00,3.69
Stylam Industrie,526951,STYLAMIND,INE239C01020,Consumer Durables,Plywood Boards/ Laminates,2224.10,3769.42,26.80,0.00,20.36,17.27,33.88,52.19,-2.42,0.00,0.00,5.22
Styrenix Perfor.,506222,STYRENIX,INE189B01011,Chemicals & Petrochemicals,Specialty Chemicals,1969.70,3464.71,20.32,0.26,24.64,,,46.24,-16.49,0.00,2.76,2.76
Subam Papers,544267,,INE0U6201010,Industrial Products,Packaging,183.00,502.87,22.58,0.68,10.28,17.25,2.90,59.11,,0.00,0.00,1.28
Subros,517168,SUBROS,INE287B01021,Industrial Products,Other Industrial Products,734.85,4793.84,28.54,0.02,14.48,11.06,21.52,36.79,0.00,0.00,0.36,4.14
Sudarshan Chem.,506655,SUDARSCHEM,INE659A01023,Chemicals & Petrochemicals,Dyes And Pigments,792.40,6229.20,1698.17,0.72,3.07,14.39,-11.65,8.19,-27.63,0.00,0.57,1.79
Sudarshan Colorants,506390,SUDARCOLOR,INE492A01029,Chemicals & Petrochemicals,Dyes And Pigments,335.10,773.47,12.89,0.04,11.62,1.73,3.12,70.26,15.89,0.00,0.00,1.39
Sudarshan Pharma,543828,,INE00TV01023,Chemicals & Petrochemicals,Specialty Chemicals,30.40,731.60,34.46,1.56,14.83,27.83,69.73,57.39,,0.00,0.00,5.23
Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,616.50,6963.28,44.21,0.20,32.77,32.48,50.39,76.15,,0.00,0.00,9.60
Sukhjit Starch,524542,SUKHJITS,INE450E01029,Agricultural Food & other Products,Other Agricultural Products,179.65,561.29,36.84,0.74,6.98,13.39,5.11,66.07,-0.11,0.00,0.56,1.02
Sula Vineyards,543711,SULA,INE142Q01026,Beverages,Breweries & Distilleries,160.45,1354.95,43.56,0.71,12.30,3.60,51.03,24.35,-2.97,0.00,2.22,2.42
Sumeet Industrie,514211,SUMEETINDS,INE235C01036,Textiles & Apparels,Other Textile Products,30.08,1583.17,52.94,0.48,,7.25,14.37,89.83,68.16,0.00,0.00,7.80
Sumitomo Chemi.,542920,SUMICHEM,INE258G01013,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,416.35,20781.97,38.30,0.02,18.81,4.98,17.27,75.00,0.00,0.00,0.30,6.51
Summit Securitie,533306,SUMMITSEC,INE519C01017,Finance,Investment Company,1631.75,1778.90,14.44,0.00,0.85,7.77,2.08,74.65,0.00,0.00,0.00,0.16
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1720.25,412745.62,34.02,0.07,16.86,9.87,23.78,54.48,0.00,0.97,0.93,5.29
Sun TV Network,532733,SUNTV,INE424H01027,Entertainment,TV Broadcasting & Software Production,595.70,23475.62,14.43,0.01,15.69,2.67,6.48,75.00,0.00,0.00,2.53,1.89
Sundaram Clayton,544066,SUNCLAY,INE0Q3R01026,Auto Components,Auto Components & Equipments,1302.00,2870.41,,1.87,-19.40,,,59.09,,0.00,0.37,3.29
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4914.90,54606.41,25.95,4.35,15.27,12.58,18.93,37.22,-1.27,0.00,0.72,3.62
Sundram Fasten.,500403,SUNDRMFAST,INE387A01021,Auto Components,Auto Components & Equipments,787.00,16537.03,29.33,0.18,14.93,9.85,10.69,46.95,-1.56,0.00,0.92,4.14
Sundrop Brands,500215,SUNDROP,INE209A01019,Agricultural Food & other Products,Edible Oil,629.00,2371.14,60.49,0.01,3.75,1.47,2.79,38.91,-12.86,0.00,0.00,1.65
Sunflag Iron,500404,SUNFLAG,INE947A01014,Industrial Products,Iron & Steel Products,238.90,4305.44,19.75,0.07,2.33,15.00,11.98,51.16,0.00,0.00,0.31,0.51
Sunita Tools Ltd,544001,,INE0Q1S01010,Industrial Manufacturing,Industrial Products,955.00,599.77,127.08,0.14,13.33,35.69,58.23,67.71,,0.00,0.00,11.61
Sunlite Recycli.,,SUNLITE,INE0U2N01013,Industrial Products,"Aluminium, Copper & Zinc Products",390.00,538.43,24.98,0.31,36.01,,,74.16,,0.00,0.00,5.71
Sunrakshakk Inds,539300,,INE671K01027,Textiles & Apparels,Other Textile Products,273.50,848.05,28.95,0.27,24.25,,,69.66,1.50,0.00,0.00,5.16
Sunshield Chem.,530845,,INE199E01014,Chemicals & Petrochemicals,Specialty Chemicals,790.40,695.13,28.17,0.81,16.39,15.10,64.78,66.53,4.17,0.00,0.32,6.45
Sunteck Realty,512179,SUNTECK,INE805D01034,Realty,"Residential, Commercial Projects",314.30,4615.22,24.10,0.16,4.71,8.79,15.24,63.30,-3.82,0.00,0.48,1.37
Suprajit Engg.,532509,SUPRAJIT,INE399C01030,Auto Components,Auto Components & Equipments,432.00,5925.80,42.35,0.68,6.50,15.96,-6.75,45.14,0.50,0.00,0.70,4.33
Supreme Inds.,509930,SUPREMEIND,INE195A01028,Industrial Products,Plastic Products - Industrial,3790.95,48155.22,59.12,0.06,17.14,13.64,14.56,48.96,0.11,0.00,0.92,8.40
Supreme Infra.,532904,SUPREMEINF,INE550H01011,Construction,Civil Construction,74.18,723.28,,4.19,,-27.07,-40.57,34.68,0.00,63.87,0.00,2.09
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,738.20,13881.21,51.10,0.06,17.36,17.20,29.34,64.24,0.00,0.00,1.37,6.23
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,630.50,5074.45,27.32,0.00,20.75,17.45,20.71,68.30,0.06,0.00,0.16,4.68
Suraj Estate,544054,SURAJEST,INE843S01025,Realty,"Residential, Commercial Projects",207.25,990.10,10.12,0.57,13.98,44.58,133.42,69.60,,0.00,0.00,1.05
Suraksha Diagno.,544293,SURAKSHA,INE877V01027,Healthcare Services,Healthcare Service Provider,262.30,1366.10,41.03,0.51,16.46,9.86,16.38,49.10,,0.10,0.00,5.94
Suratwwala Busi.,543218,SBGLP,INE05ST01028,Realty,"Residential, Commercial Projects",29.35,508.97,16.33,0.79,16.75,,,73.39,-1.39,0.00,0.33,6.18
Surya Roshni,500336,SURYAROSNI,INE335A01020,Industrial Products,Iron & Steel Products,222.70,4846.75,15.29,0.05,14.88,6.34,27.51,62.89,-0.07,0.00,1.87,1.98
Suryoday Small,543279,SURYODAY,INE428Q01011,Banks,Other Bank,136.40,1449.78,21.16,7.11,6.16,20.57,0.66,22.43,-0.87,13.17,0.00,0.75
Sustainable Ener,,SEITINVIT,INE0R8O23017,Power,Power Generation,130.00,4212.00,33.91,1.11,4.35,,,61.42,,0.00,6.35,1.41
Suven Life Scie.,530239,SUVEN,INE495B01038,Healthcare Services,"Healthcare Research, Analytics & Technology",179.20,4725.92,,0.00,-87.22,-12.00,-24.19,70.15,0.58,0.00,0.00,14.46
Suyog Telematics,537259,SUYOG,INE442P01014,Telecom - Services,Telecom - Infrastructure,798.00,935.05,27.22,0.54,11.61,9.50,4.19,52.01,3.87,6.56,0.22,2.16
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment,Heavy Electrical Equipment,44.29,60253.96,18.53,0.05,41.44,29.65,22.93,11.73,-2.77,0.00,0.00,7.69
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,326.60,10237.50,,0.34,-4.47,70.69,,53.96,-10.13,36.89,0.03,1.40
Swan Defence,533107,SWANDEF,INE542F01020,Industrial Manufacturing,Ship Building & Allied Services,1770.00,9324.76,,10.67,-46.31,-37.80,13.63,89.90,89.90,0.00,0.00,38.07
Swaraj Engines,500407,SWARAJENG,INE277A01016,Industrial Products,"Compressors, Pumps & Diesel Engines",3805.10,4623.16,24.36,0.00,41.94,16.81,18.83,52.12,-0.01,0.00,2.71,11.81
Swaraj Suiting,,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products,295.85,651.41,13.74,1.94,25.65,38.96,59.18,65.01,-8.30,0.00,0.00,3.79
Swelect Energy,532051,SWELECTES,INE409B01013,Electrical Equipment,Heavy Electrical Equipment,552.30,837.19,15.22,0.75,0.58,19.77,13.83,56.37,0.00,0.00,0.56,0.96
Swiggy,544285,SWIGGY,INE00H001014,Retailing,E-Retail/ E-Commerce,272.65,75260.01,,0.25,-254.95,34.43,3.69,0.00,,0.00,0.00,7.71
Symphony,517385,SYMPHONY,INE225D01027,Consumer Durables,Household Appliances,745.55,5119.79,31.32,0.01,32.36,7.40,5.82,73.43,0.18,0.00,1.70,6.54
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,13.07,1228.58,17.88,0.00,15.50,17.51,27.71,50.57,0.00,0.00,0.00,3.21
Synergy Green,541929,SGIL,INE00QT01015,Industrial Products,Castings & Forgings,504.00,783.36,99.92,1.79,21.88,11.75,38.79,69.45,-4.71,0.00,0.20,7.02
Syngene Intl.,539268,SYNGENE,INE398R01022,Healthcare Services,"Healthcare Research, Analytics & Technology",400.05,16119.59,39.41,0.12,10.53,12.60,5.71,52.68,-12.18,0.00,0.32,3.41
Synthiko Foils,513307,,INE363L01045,Industrial Products,"Aluminium, Copper & Zinc Products",1469.95,2128.32,8868.00,,,,,55.78,3.50,0.00,0.00,
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,851.00,16409.87,57.65,0.12,9.45,34.44,12.24,42.72,-4.55,0.00,0.18,5.87
Systematix Corp.,526506,SYSTMTXC,INE356B01024,Capital Markets,Stockbroking & Allied,72.08,984.14,34.12,0.06,20.43,26.80,65.40,70.58,-3.52,0.00,0.15,3.03
T B Z,534369,TBZ,INE760L01018,Consumer Durables,"Gems, Jewellery And Watches",138.25,922.54,6.42,1.18,10.88,7.68,24.72,74.12,0.00,0.00,1.64,1.33
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,645.60,10223.17,8.10,5.91,13.97,8.83,23.73,0.00,0.00,0.00,1.69,1.03
T N Newsprint,531426,TNPL,INE107A01015,"Paper, Forest & Jute Products",Paper & Paper Products,135.15,935.38,31.61,0.90,-0.14,5.29,,35.32,0.00,0.00,2.21,0.46
T N Petro Prod.,500777,TNPETRO,INE148A01019,Chemicals & Petrochemicals,Petrochemicals,88.43,795.61,7.42,0.33,5.10,8.32,-6.49,34.54,0.00,0.00,1.37,0.81
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,279.00,8374.70,31.45,0.27,23.45,23.55,250.57,64.36,-10.55,21.84,0.07,6.20
T.V. Today Netw.,532515,TVTODAY,INE038F01029,Entertainment,TV Broadcasting & Software Production,108.00,644.40,27.63,0.02,8.44,2.98,-11.83,63.21,4.76,0.00,2.78,0.72
TAAL Tech,539956,,INE524T01011,Transport Services,Airline,2988.00,931.15,18.10,0.01,24.34,7.34,16.91,50.80,-0.30,0.00,2.16,4.17
TAC Infosec,,TAC,INE0SOY01013,IT - Software,Computers - Software & Consulting,561.85,1181.36,60.37,0.01,41.27,,,56.97,,4.19,0.00,17.49
TajGVK Hotels,532390,TAJGVK,INE586B01026,Leisure Services,Hotels & Resorts,334.00,2094.21,16.72,0.12,19.49,7.54,33.05,71.00,-3.99,30.27,0.58,3.03
Take Solutions,532890,TAKE,INE142I01023,Healthcare Services,"Healthcare Research, Analytics & Technology",44.58,659.49,3297.46,0.00,644.12,,38.14,0.00,-53.41,0.00,0.00,25.72
Talbros Auto.,505160,TALBROAUTO,INE187D01029,Auto Components,Auto Components & Equipments,259.35,1600.93,16.16,0.13,15.93,16.51,46.88,58.43,0.01,0.00,0.28,2.34
Taneja Aerospace,522229,,INE692C01020,Aerospace & Defense,Aerospace & Defense,268.75,685.32,38.21,0.00,13.26,4.72,25.58,52.03,0.80,0.00,0.92,4.55
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,2181.95,4352.98,58.12,0.09,32.05,27.58,38.64,51.81,0.00,0.00,0.21,12.86
Tanla Platforms,532790,TANLA,INE483C01032,IT - Software,Software Products,467.85,6204.52,12.58,0.03,24.10,15.70,38.24,46.17,2.44,0.00,2.64,2.68
TARC Ltd,543249,TARC,INE0EK901012,Realty,"Residential, Commercial Projects",127.20,3753.62,,1.81,-19.95,-24.50,,65.12,0.16,0.00,0.00,3.51
Tarsons Products,543399,TARSONS,INE144Z01023,Healthcare Equipment & Supplies,Medical Equipment & Supplies,192.50,1024.23,48.22,0.63,4.75,,,47.30,-0.01,0.00,0.00,1.63
Tasty Bite Eat.,519091,TASTYBITE,INE488B01017,Food Products,Packaged Foods,7035.00,1805.16,50.41,0.21,8.58,5.42,-8.98,74.23,0.00,0.00,0.03,5.67
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),329.30,139783.51,31.59,5.88,12.92,,,85.41,,0.00,0.00,3.88
Tata Chemicals,500770,TATACHEM,INE092A01019,Chemicals & Petrochemicals,Commodity Chemicals,652.60,16625.68,61.08,0.34,1.20,7.53,-47.92,37.98,0.00,0.00,1.71,0.75
Tata Comm,500483,TATACOMM,INE151A01013,Telecom - Services,Telecom - Cellular & Fixed line services,1470.40,41906.46,36.60,4.68,55.18,6.25,33.01,58.86,0.00,0.00,1.71,14.75
Tata Consumer,500800,TATACONSUM,INE192A01025,Agricultural Food & other Products,Tea & Coffee,1075.50,106427.40,73.45,0.13,7.01,12.82,15.13,33.84,-0.60,0.00,0.77,5.27
